location,compatibility,necessity,actual
강서구 대저1동,98.15,93.39,1
강서구 대저2동,98.15,90.91,1
강서구 강동동,98.15,96.69,1
강서구 명지1동,90.74,97.52,1
강서구 명지2동,98.15,67.77,0
강서구 가락동,94.44,97.52,1
강서구 녹산동,94.44,92.56,1
강서구 가덕도동,90.74,47.93,1
금정구 서1동,48.15,5.79,0
금정구 서2동,27.78,7.44,0
금정구 서3동,44.44,5.79,0
금정구 금사회동동,92.59,44.63,1
금정구 부곡1동,16.67,5.79,0
금정구 부곡2동,24.07,5.79,1
금정구 부곡3동,85.19,5.79,1
금정구 부곡4동,16.67,21.49,0
금정구 장전1동,9.26,5.79,0
금정구 장전2동,14.81,7.44,0
금정구 장전3동,16.67,7.44,0
금정구 선두구동,92.59,61.98,1
금정구 청룡노포동,92.59,61.16,1
금정구 남산동,87.04,20.66,1
금정구 구서1동,90.74,45.45,1
금정구 구서2동,77.78,20.66,1
금정구 금성동,35.19,20.66,0
기장군 기장읍,90.74,84.3,1
기장군 장안읍,100,79.34,1
기장군 정관읍,92.59,85.12,1
기장군 일광면,96.3,79.34,1
기장군 철마면,100,79.34,1
남구 대연1동,90.74,50.41,1
남구 대연3동,92.59,88.43,1
남구 대연4동,35.19,50.41,0
남구 대연5동,88.89,50.41,1
남구 대연6동,81.48,50.41,1
남구 용호1동,77.78,50.41,1
남구 용호2동,53.7,50.41,0
남구 용호3동,83.33,50.41,1
남구 용호4동,81.48,50.41,1
남구 용당동,85.19,50.41,1
남구 감만1동,83.33,47.93,1
남구 감만2동,79.63,50.41,1
남구 우암동,70.37,50.41,1
남구 문현1동,83.33,62.81,1
남구 문현2동,83.33,62.81,1
남구 문현3동,85.19,50.41,1
남구 문현4동,75.93,50.41,1
동구 초량1동,42.59,46.28,0
동구 초량2동,87.04,46.28,1
동구 초량3동,90.74,46.28,1
동구 초량6동,81.48,46.28,1
동구 수정1동,66.67,46.28,1
동구 수정2동,87.04,41.32,1
동구 수정4동,27.78,41.32,0
동구 수정5동,66.67,41.32,1
동구 좌천동,87.04,49.59,1
동구 범일1동,72.22,84.3,1
동구 범일2동,87.04,84.3,1
동구 범일5동,18.52,49.59,0
동래구 수민동,94.44,71.07,1
동래구 복산동,50,33.06,1
동래구 명륜동,68.52,47.11,0
동래구 온천1동,100,77.69,1
동래구 온천2동,85.19,47.11,1
동래구 온천3동,94.44,47.11,1
동래구 사직1동,29.63,34.71,0
동래구 사직2동,81.48,34.71,1
동래구 사직3동,59.26,34.71,1
동래구 안락1동,87.04,33.06,0
동래구 안락2동,96.3,79.34,1
동래구 명장1동,57.41,33.06,1
동래구 명장2동,31.48,33.06,0
부산진구 부전1동,90.74,62.81,1
부산진구 부전2동,85.19,62.81,1
부산진구 연지동,92.59,62.81,1
부산진구 초읍동,98.15,62.81,1
부산진구 양정1동,96.3,62.81,1
부산진구 양정2동,81.48,62.81,1
부산진구 전포1동,88.89,62.81,1
부산진구 전포2동,98.15,62.81,1
부산진구 부암1동,96.3,62.81,1
부산진구 부암3동,27.78,62.81,0
부산진구 당감1동,96.3,58.68,1
부산진구 당감2동,74.07,62.81,1
부산진구 당감4동,77.78,58.68,1
부산진구 가야1동,98.15,58.68,1
부산진구 가야2동,94.44,58.68,1
부산진구 개금1동,88.89,58.68,1
부산진구 개금2동,83.33,58.68,1
부산진구 개금3동,100,58.68,1
부산진구 범천1동,50,62.81,0
부산진구 범천2동,96.3,90.08,1
북구 구포1동,88.89,37.19,1
북구 구포2동,96.3,37.19,1
북구 구포3동,94.44,37.19,1
북구 금곡동,75.93,72.73,1
북구 화명1동,35.19,37.19,0
북구 화명2동,62.96,72.73,1
북구 화명3동,68.52,80.99,1
북구 덕천1동,29.63,37.19,0
북구 덕천2동,55.56,80.99,1
북구 덕천3동,37.04,37.19,0
북구 만덕1동,24.07,37.19,0
북구 만덕2동,75.93,37.19,1
북구 만덕3동,20.37,37.19,0
사상구 삼락동,98.15,86.78,1
사상구 모라1동,88.89,46.28,1
사상구 모라3동,37.04,46.28,0
사상구 덕포1동,92.59,46.28,1
사상구 덕포2동,90.74,46.28,1
사상구 괘법동,96.3,85.95,1
사상구 감전동,100,99.17,1
사상구 주례1동,83.33,67.77,1
사상구 주례2동,90.74,50.41,1
사상구 주례3동,77.78,67.77,1
사상구 학장동,96.3,98.35,1
사상구 엄궁동,96.3,99.17,1
사하구 괴정1동,92.59,52.89,1
사하구 괴정2동,92.59,39.67,1
사하구 괴정3동,94.44,52.89,1
사하구 괴정4동,90.74,52.89,1
사하구 당리동,85.19,52.89,1
사하구 하단1동,96.3,90.91,1
사하구 하단2동,100,88.43,1
사하구 신평1동,98.15,82.64,1
사하구 신평2동,96.3,82.64,1
사하구 장림1동,98.15,82.64,1
사하구 장림2동,100,82.64,1
사하구 다대1동,96.3,82.64,1
사하구 다대2동,100,82.64,1
사하구 구평동,94.44,82.64,1
사하구 감천1동,92.59,52.89,1
사하구 감천2동,61.11,39.67,1
서구 동대신1동,74.07,39.67,1
서구 동대신2동,70.37,39.67,1
서구 동대신3동,94.44,39.67,1
서구 서대신1동,37.04,39.67,0
서구 서대신3동,68.52,39.67,1
서구 서대신4동,57.41,39.67,1
서구 부민동,100,39.67,1
서구 아미동,90.74,39.67,1
서구 초장동,88.89,71.9,1
서구 충무동,98.15,71.9,1
서구 남부민1동,92.59,82.64,1
서구 남부민2동,90.74,82.64,1
서구 암남동,96.3,82.64,1
수영구 남천1동,100,50.41,1
수영구 남천2동,98.15,50.41,1
수영구 수영동,94.44,34.71,1
수영구 망미1동,100,34.71,1
수영구 망미2동,100,34.71,1
수영구 광안1동,100,34.71,1
수영구 광안2동,100,34.71,1
수영구 광안3동,100,34.71,1
수영구 광안4동,100,34.71,1
수영구 민락동,100,34.71,1
연제구 거제1동,18.52,16.53,0
연제구 거제2동,3.7,7.44,1
연제구 거제3동,5.56,7.44,0
연제구 거제4동,5.56,7.44,0
연제구 연산1동,22.22,17.36,0
연제구 연산2동,38.89,7.44,1
연제구 연산3동,22.22,7.44,0
연제구 연산4동,61.11,7.44,1
연제구 연산5동,68.52,7.44,1
연제구 연산6동,27.78,7.44,0
연제구 연산8동,35.19,7.44,0
연제구 연산9동,79.63,7.44,1
영도구 남항동,85.19,76.86,1
영도구 영선1동,85.19,76.86,1
영도구 영선2동,77.78,76.86,1
영도구 신선동,83.33,76.86,1
영도구 봉래1동,31.48,76.86,0
영도구 봉래2동,90.74,76.86,1
영도구 청학1동,81.48,76.86,1
영도구 청학2동,94.44,76.86,1
영도구 동삼1동,100,53.72,1
영도구 동삼2동,87.04,53.72,1
영도구 동삼3동,90.74,53.72,1
중구 중앙동,98.15,71.9,1
중구 동광동,98.15,71.9,1
중구 대청동,98.15,71.9,1
중구 보수동,100,71.9,1
중구 부평동,100,71.9,1
중구 광복동,74.07,71.9,1
중구 남포동,96.3,71.9,0
중구 영주1동,94.44,46.28,1
중구 영주2동,100,46.28,1
해운대구 우1동,48.15,32.23,1
해운대구 우2동,46.3,69.42,1
해운대구 우3동,38.89,32.23,0
해운대구 중1동,85.19,32.23,1
해운대구 중2동,90.74,32.23,1
해운대구 좌1동,18.52,32.23,0
해운대구 좌2동,31.48,32.23,0
해운대구 좌3동,20.37,32.23,0
해운대구 좌4동,50,32.23,1
해운대구 송정동,88.89,77.69,1
해운대구 반여1동,50,77.69,0
해운대구 반여2동,25.93,30.58,0
해운대구 반여3동,22.22,30.58,0
해운대구 반여4동,51.85,30.58,1
해운대구 반송1동,88.89,82.64,1
해운대구 반송2동,87.04,30.58,1
해운대구 재송1동,14.81,32.23,0
해운대구 재송2동,25.93,30.58,0
